Name			Salary			Expected			Experience
Bill			1160000			118000			72
Jordan			90000			106000			26
Michel			1400000			98000			39
Mike			750000			11000			68
Harry			630000			50000			66
Louis			810000			65000			3
Nail			870000			30000			23
Tony			200000			17000			5
Ron			980000			39000			37
Tomlinson			260000			97000			2
Liam			830000			79000			57
Zyan			1080000			67000			79
Shawn			1430000			15000			20
Justin			1010000			87000			23
Hailey			1190000			94000			62
Julia			40000			1000			24
Taylor			810000			119000			22
Cindrella			1100000			96000			42
Tom			680000			126000			58
Odin			1110000			23000			8
